current density,FE
36.919192,0.778788
36.919192,0.786869
36.919192,0.794949
36.919192,0.803030
36.919192,0.811111
36.919192,0.819192
36.919192,0.827273
36.919192,0.835354
36.919192,0.843434
36.919192,0.851515
36.919192,0.859596
36.919192,0.867677
36.919192,0.875758
36.919192,0.883838
36.919192,0.891919
36.919192,0.900000
40.909091,0.100000
40.909091,0.108081
40.909091,0.116162
40.909091,0.124242
40.909091,0.132323
40.909091,0.140404
40.909091,0.148485
40.909091,0.156566
40.909091,0.164646
40.909091,0.172727
40.909091,0.180808
40.909091,0.188889
40.909091,0.196970
40.909091,0.205051
40.909091,0.213131
40.909091,0.221212
40.909091,0.229293
40.909091,0.237374
40.909091,0.245455
40.909091,0.253535
40.909091,0.261616
40.909091,0.269697
40.909091,0.277778
40.909091,0.285859
40.909091,0.293939
40.909091,0.302020
40.909091,0.310101
40.909091,0.318182
40.909091,0.326263
40.909091,0.334343
40.909091,0.342424
40.909091,0.350505
40.909091,0.358586
40.909091,0.366667
40.909091,0.374747
40.909091,0.382828
40.909091,0.390909
40.909091,0.398990
40.909091,0.407071
40.909091,0.415152
40.909091,0.423232
40.909091,0.431313
40.909091,0.439394
40.909091,0.447475
40.909091,0.455556
40.909091,0.463636
40.909091,0.471717
40.909091,0.479798
40.909091,0.487879
40.909091,0.495960
40.909091,0.504040
40.909091,0.512121
40.909091,0.520202
40.909091,0.528283
40.909091,0.536364
40.909091,0.544444
40.909091,0.552525
40.909091,0.560606
40.909091,0.568687
40.909091,0.576768
40.909091,0.584848
40.909091,0.592929
40.909091,0.601010
40.909091,0.609091
40.909091,0.617172
40.909091,0.625253
40.909091,0.633333
40.909091,0.641414
40.909091,0.649495
40.909091,0.657576
40.909091,0.665657
40.909091,0.673737
40.909091,0.681818
40.909091,0.689899
40.909091,0.697980
40.909091,0.706061
40.909091,0.714141
40.909091,0.722222
40.909091,0.730303
40.909091,0.738384
40.909091,0.746465
40.909091,0.754545
40.909091,0.762626
40.909091,0.770707
40.909091,0.778788
40.909091,0.786869
40.909091,0.794949
40.909091,0.803030
40.909091,0.811111
40.909091,0.819192
40.909091,0.827273
40.909091,0.835354
40.909091,0.843434
40.909091,0.851515
40.909091,0.859596
40.909091,0.867677
40.909091,0.875758
40.909091,0.883838
40.909091,0.891919
40.909091,0.900000
44.898990,0.100000
44.898990,0.108081
44.898990,0.116162
44.898990,0.124242
44.898990,0.132323
44.898990,0.140404
44.898990,0.148485
44.898990,0.156566
